type,date,total,driver
Uber,18 juillet 2021,25.90,Mohamed
Uber,19 novembre 2021,26.84,Georges
Uber,3 septembre 2022,37.07,Malek
Uber,19 juillet 2021,18.07,Richardson
Uber,20 septembre 2022,56.66,Ala
Uber,23 mai 2021,69.77,Huseyin
Uber,11 janvier 2023,54.69,Cherif
Uber,10 mars 2023,15.67,Zoheir
Uber,20 mai 2021,12.42,Alexandro
Uber,8 avril 2022,17.85,Filib
Uber,31 juillet 2022,18.66,Hocine
Uber,20 décembre 2022,20.14,Bassem
Uber,18 juillet 2021,25.90,Mohamed
Uber,26 septembre 2021,39.05,Sid
Uber,25 février 2022,24.43,Ronald
Uber,17 juin 2021,29.98,Mahmoud
Uber,19 novembre 2021,26.84,Georges
Uber,28 août 2021,20.02,Sabrullah
Uber,15 février 2023,16.82,Daniel
Uber,11 septembre 2022,50.56,Jawad
Uber,22 juillet 2021,15.24,Charles
Uber,19 avril 2023,30.30,Mohamed
Uber,21 avril 2023,12.87,Said
Uber,29 juillet 2022,10.94,Evens
Uber,21 avril 2023,69.17,Xuan
Uber,4 novembre 2022,12.94,OUALID
Uber,9 septembre 2021,17.35,Muhammad
Uber,13 avril 2023,25.49,Philippe
Uber,18 février 2023,10.99,ABDOURAHAMANE
Uber,10 février 2022,20.83,Mohamed
Uber,10 mars 2023,15.77,Jean
Uber,17 octobre 2021,89.43,Touwendmanegre
Uber,16 juillet 2022,31.16,Quang
Uber,29 juillet 2021,25.23,Seydou
Uber,13 mai 2022,44.33,Hossein
Uber,22 avril 2023,43.08,Mohammed
Uber,12 octobre 2022,68.92,SALIM
Uber,19 avril 2023,30.30,Mohamed
Uber,14 juin 2021,12.98,Huseyin
Uber,12 août 2021,28.41,Michel
Uber,15 février 2023,28.55,Lesly
Uber,10 décembre 2022,19.09,Bertin
Uber,26 avril 2022,33.52,Stephane
Uber,5 avril 2023,11.99,PARDEEP
